49 21 17 10 20 50 6 85 75 1 39 82 41 48 4 17 44 64 48 0 68 94 79 98 7 56 97 4 62 95 87 95 80 91 6 22 81 55 10 21 76 3 64 46 45 91 67 4 56 92 87 81 26 29 63 12 23 40 81 62 63 81 60 12 69 48 53 38 16 66 37 99 92 72 37 17 42 79 67 98 35 91 69 98 62 2 35 19 90 0 22 19 73 1 62 1 32 2 19 7
43 92 87 73 17 93 27 86 99 92 57 63 8 43 21 20 93 59 22 91 58 11 71 6 49 21 25 89 0 50 36 88 77 9 53 61 22 5 38 97 22 14 44 31 11 93 48 94 36 10 13 25 57 43 57 71 73 42 6 36 87 76 11 49 66 32 15 75 62 38 49 34 46 28 65 91 68 64 93 80 69 4 52 48 33 14 43 39 99 0 17 98 56 83 92 38 58 47 49 21
43 2 48 94 39 60 43 62 47 74 9 83 74 29 6 80 49 98 6 13 9 71 61 56 87 29 69 84 65 72 81 37 16 62 96 52 65 32 95 21 36 85 88 50 29 4 0 38 49 17 25 5 21 31 31 21 4 56 67 22 31 32 34 50 17 38 29 29 25 9 25 79 3 86 29 41 12 91 17 65 25 88 25 76 14 59 46 98 20 93 61 37 1 87 86 85 29 70 22 88
17 87 28 68 32 17 4 97 98 16 30 33 52 38 34 29 3 40 79 54 57 24 25 55 17 32 37 97 22 14 24 73 2 69 61 56 23 2 63 65 99 44 70 42 24 89 55 44 2 26 66 81 24 85 43 82 88 37 80 30 43 49 27 4 77 93 99 32 24 53 23 73 87 43 58 21 13 11 64 18 22 41 26 39 77 63 40 2 23 68 67 96 57 8 25 14 4 33 11 19
0 37 51 29 70 53 5 93 73 61 15 85 7 45 7 9 57 35 84 9 24 34 37 32 10 39 61 14 8 34 24 29 97 39 13 50 52 45 48 11 77 19 97 32 65 97 14 6 14 62 78 77 33 75 87 1 31 50 9 24 18 8 19 7 45 31 53 63 41 64 79 17 45 81 45 84 8 66 75 2 90 93 3 58 20 3 73 0 32 29 26 13 57 74 4 92 54 37 88 45
5 59 49 21 13 98 97 47 8 21 9 2 99 63 14 46 55 69 5 79 74 87 3 24 80 86 74 80 18 37 42 79 80 44 31 59 34 8 33 72 74 31 25 65 79 59 4 51 41 91 22 92 99 21 41 81 81 66 53 36 12 58 14 61 2 7 92 93 38 33 10 55 8 7 23 19 13 88 44 24 77 55 50 83 65 15 47 84 11 75 87 79 27 21 9 67 71 6 85 17
11 50 20 1 83 92 94 17 32 79 75 62 65 54 6 22 46 73 38 14 26 9 9 61 73 63 74 18 88 99 25 83 83 23 66 97 35 1 18 5 18 80 13 76 36 15 65 11 32 51 69 26 46 0 14 95 69 73 62 9 83 15 13 5 4 99 93 71 37 19 36 94 70 55 17 50 90 72 60 14 61 56 37 25 55 51 19 83 55 30 32 84 54 54 13 61 33 52 48 0
51 66 8 21 64 28 84 49 55 55 78 85 55 54 14 90 37 36 99 0 51 29 89 96 31 52 40 55 17 68 56 67 15 34 21 84 32 2 85 51 95 38 68 10 49 59 7 45 76 29 52 3 61 21 40 12 44 81 70 85 86 56 16 72 28 82 88 78 82 38 1 10 38 59 33 4 95 40 5 94 20 75 67 54 69 75 35 8 52 16 37 45 79 80 1 56 85 8 72 92
74 16 15 58 45 63 34 40 29 52 63 86 17 90 23 36 75 47 95 5 14 34 62 26 92 19 55 38 20 10 70 72 85 36 24 74 74 61 23 53 99 5 18 12 15 25 24 97 64 13 54 70 92 20 28 9 97 11 97 86 28 93 94 68 69 50 27 78 50 71 43 43 5 93 9 45 59 2 32 46 66 68 48 15 77 87 37 72 18 42 23 41 37 97 51 84 3 29 34 70
66 47 58 2 27 98 49 63 59 11 64 54 30 30 56 28 57 94 85 58 27 53 35 25 75 29 5 18 8 67 58 31 76 10 30 15 97 86 93 32 61 81 31 86 53 65 63 78 56 64 25 64 13 8 6 73 2 3 78 5 86 74 57 84 38 52 69 33 59 77 39 88 71 8 31 0 45 30 97 76 94 56 33 24 78 19 19 26 10 69 11 30 27 83 95 61 2 5 15 33
